name
"Superman Returns,Harry Potter and the Order of the Phoenix,The Wolverine,Iron Man 2,Superman III,Superman,Man of Steel,Total Recall,Riddick,After Earth,Harry Potter and the Chamber of Secrets,All Is Lost,Harry Potter and the Goblet of Fire,Harry Potter and the Philosopher's Stone,Apocalypto,American Sniper,The Incredible Hulk,The Ant Bully,The Amazing Spider-Man,Spider-Man 3,Dark Shadows,X2,Spawn,The Judge,Spider-Man 2"
"Quantum of Solace,Licence to Kill,Diamonds Are Forever,Casino Royale,Spectre,Die Another Day,From Russia with Love,Octopussy,GoldenEye,Code of Honor,Never Say Never Again,Lethal Weapon 4,Apocalypto,Highlander,A View to a Kill,For Your Eyes Only,The Adventures of Elmo in Grouchland,Dr. No,I Am Number Four,3 Days to Kill,Half Past Dead,Dutch Kills,True Grit,Commando,Pain & Gain"
"Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Phillips,The Pirates! In an Adventure with Scientists!,Ladder 49,The Sorcerer's Apprentice,20,000 Leagues Under the Sea,Shipwrecked,VeggieTales: The Pirates Who Don't Do Anything,The Adventures of Tintin,Sky Captain and the World of Tomorrow,All Is Lost,Crimson Tide,King Kong,The Adventures of Huck Finn,Commando,Moby Dick,Stardust,Dragonslayer,Dark Shadows,Into the Woods,Fifty Dead Men Walking,Master and Commander: The Far Side of the World"
"The Lone Ranger,Doom,Mindhunters,The Wild Bunch,Butch Cassidy and the Sundance Kid,Blackthorn,Dear Wendy,Torque,The Crow,Lethal Weapon 4,Hidalgo,White Fang,The Proposition,Around the World in 80 Days,3:10 to Yuma,The Assassination of Jesse James by the Coward Robert Ford,Glory Road,American Outlaws,The Outsiders,The Man Who Shot Liberty Valance,Sahara,The Core,G-Force,West Side Story,The Legend of the Lone Ranger"
"Man of Steel,Jupiter Ascending,Superman III,Fantastic Four,Superman IV: The Quest for Peace,Superman Returns,Phenomenon,Batman v Superman: Dawn of Justice,Superman II,I Am Legend,The Adventures of Pinocchio,Hostel: Part II,Superman,The Forsaken,Jack the Giant Slayer,Charlie and the Chocolate Factory,Nothing But a Man,Astro Boy,Broken Vessels,2012,Battlefield Earth,Duma,Beginners,Caravans,Sucker Punch"
"The Chronicles of Narnia: Prince Caspian,Harrison Montgomery,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Virgin Territory,The Last Legion,The Secret Life of Walter Mitty,Brooklyn,The Lion of Judah,Blackthorn,Harry Potter and the Chamber of Secrets,The Crow,Cinderella,Shine,Made in Dagenham,Headhunters,Severance,The Prince & Me,The Lion King,Straight A's,Furious 7,A Cock and Bull Story,Fantastic Four,TRON: Legacy,The Mummy Returns,Mirror Mirror"
"The Avengers,Iron Man,Avengers: Age of Ultron,Iron Man 3,Captain America: The First Avenger,Thor: The Dark World,Captain America: Civil War,Iron Man 2,Guardians of the Galaxy,Ant-Man,The Incredible Hulk,Team America: World Police,Thor,Transformers: Revenge of the Fallen,Captain America: The Winter Soldier,Superman,Minions,Fantastic 4: Rise of the Silver Surfer,X2,Skin Trade,Superhero Movie,Alive,Star Wars: Episode I - The Phantom Menace,The Shadow,TRON: Legacy"
"Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: At World's End,The Pirates! In an Adventure with Scientists!,Captain Phillips,Ladder 49,Shipwrecked,The Adventures of Tintin,All Is Lost,20,000 Leagues Under the Sea,Master and Commander: The Far Side of the World,The Sorcerer's Apprentice,Oblivion,Total Recall,King Kong,The Adventures of Huck Finn,Small Soldiers,Crimson Tide,Titanic,Pan,Rockaway,Inspector Gadget,Clash of the Titans,VeggieTales: The Pirates Who Don't Do Anything"
"Men in Black 3,Pound of Flesh,Back to the Future,Men in Black,RED,Timecop,Time Changer,Copying Beethoven,Son of God,Repo Men,About Time,How to Fall in Love,Rise of the Planet of the Apes,I Origins,Multiplicity,Riddick,Gunless,The R.M.,True Lies,The Cookout,Back to the Future Part II,E.T. the Extra-Terrestrial,I Love You, Beth Cooper,Charlie St. Cloud,Ballistic: Ecks vs. Sever"
"The Hobbit: The Battle of the Five Armies,The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug,Army of Darkness,300,The Lord of the Rings: The Two Towers,Spawn,The Lord of the Rings: The Return of the King,Superman IV: The Quest for Peace,Centurion,Mortal Kombat: Annihilation,Dark Blue,Men in Black,Legend of the Guardians: The Owls of Ga'Hoole,Creed,Night at the Museum,The Thin Red Line,Battle: Los Angeles,One Man's Hero,Batman & Robin,Underworld: Rise of the Lycans,The Lord of the Rings: The Fellowship of the Ring,Diner,Jack the Giant Slayer,Falcon Rising"
"The Amazing Spider-Man,1982,All Is Lost,Multiplicity,The Beastmaster,I Love You, Man,Copying Beethoven,Flying By,Jeff, Who Lives at Home,Should've Been Romeo,Gran Torino,The Mudge Boy,After Earth,Me You and Five Bucks,The Adventures of Elmo in Grouchland,How to Fall in Love,The Truman Show,Big Fish,Gladiator,The Call of Cthulhu,Tin Can Man,Iron Man 2,The Animal,Hugo,Apocalypto"
"Robin Hood,All Is Lost,The Assassination of Jesse James by the Coward Robert Ford,Forsaken,Ironclad,Back to the Future,Apocalypto,Reign Over Me,Stardust,Inspector Gadget,Gladiator,Code of Honor,Nicholas Nickleby,The Adventures of Elmo in Grouchland,Wanted,Free State of Jones,First Knight,Gran Torino,American Sniper,Charlie St. Cloud,Cinderella Man,Love Happens,Chappie,Grosse Pointe Blank,Walking Tall"
"The Hobbit: The Desolation of Smaug,The Hobbit: An Unexpected Journey,The Hobbit: The Battle of the Five Armies,How to Train Your Dragon 2,Creed,George and the Dragon,Legend of the Guardians: The Owls of Ga'Hoole,Red Dragon,Sucker Punch,The Lord of the Rings: The Two Towers,The Wicked Lady,Dragonslayer,Reign of Fire,Pete's Dragon,The Adventures of Pinocchio,Eragon,Agent Cody Banks 2: Destination London,The Other End of the Line,Hot Pursuit,The Secret Life of Walter Mitty,San Andreas,The Golden Compass,Dungeons & Dragons: Wrath of the Dragon God,How to Be Single,Man of Steel"
"The Golden Compass,The Secret Life of Walter Mitty,Inkheart,Alpha and Omega: The Legend of the Saw Tooth Cave,A Shine of Rainbows,The Last Legion,Return to Oz,Flyboys,The Lion of Judah,Jonah: A VeggieTales Movie,Around the World in 80 Days,X-Men: The Last Stand,Anaconda,The Adventures of Pinocchio,Puss in Boots,The Hobbit: The Desolation of Smaug,Legend of the Guardians: The Owls of Ga'Hoole,Fantastic 4: Rise of the Silver Surfer,The New World,Blade: Trinity,The Chronicles of Narnia: Prince Caspian,The Imaginarium of Doctor Parnassus,The Lord of the Rings: The Two Towers,Blackthorn,The BFG"
"King Kong,An Alan Smithee Film: Burn, Hollywood, Burn,Master and Commander: The Far Side of the World,K-19: The Widowmaker,Alexander,Rockaway,The Adventures of Tintin,A Dangerous Method,Pi,Triangle,Blackthorn,Brooklyn,The Life Aquatic with Steve Zissou,FearDotCom,White Noise,Catwoman,Sugar Hill,The Scorpion King,A Sound of Thunder,Arbitrage,Napoleon Dynamite,Sherlock Holmes: A Game of Shadows,The Huntsman: Winter's War,Coriolanus,A Walk Among the Tombstones"
"Titanic,Ghost Ship,Master and Commander: The Far Side of the World,The Merchant of Venice,The Switch,The Notebook,Captain Phillips,The Bounty,The Perks of Being a Wallflower,Star Trek II: The Wrath of Khan,To Write Love on Her Arms,Triangle,King Kong,Kicks,Pirates of the Caribbean: On Stranger Tides,Flicka,Love Me Tender,Rent,The Shipping News,Ever After: A Cinderella Story,The Age of Adaline,Opal Dream,Gentleman's Agreement,Dear Frankie,Julia"
"Captain America: Civil War,Captain America: The First Avenger,Iron Man 3,Captain America: The Winter Soldier,Avengers: Age of Ultron,Iron Man,Guardians of the Galaxy,Transformers: Revenge of the Fallen,300,TRON: Legacy,The One,America's Sweethearts,The Avengers,Ant-Man,300: Rise of an Empire,Orphan,Thor: The Dark World,The Incredible Hulk,20,000 Leagues Under the Sea,Transformers: Age of Extinction,John Carter,Nomad: The Warrior,Thor,Iron Man 2,Jurassic World"
"Battleship,Riddick,John Carter,Paul,The 5th Wave,I Am Number Four,E.T. the Extra-Terrestrial,Superman,Impostor,Commando,All Is Lost,The Last King of Scotland,The Rundown,Planet 51,Furious 7,The Night Listener,Coriolanus,K-PAX,Crimson Tide,Master and Commander: The Far Side of the World,Hellraiser,Meet Dave,Movie 43,Alexander,Aliens vs Predator: Requiem"
"Jurassic World,The Lost World: Jurassic Park,Jurassic Park,Jurassic Park III,The Land Before Time,Sea Rex 3D: Journey to a Prehistoric World,The Scorpion King,The One,Walking With Dinosaurs,Cirque du Soleil: Worlds Away,Timecop,Super Mario Bros.,The Count of Monte Cristo,Small Soldiers,The Good Dinosaur,John Carter,Land of the Lost,Æon Flux,Minions,A Sound of Thunder,The Adventures of Tintin,Terminator Genisys,Captain America: Civil War,Iron Man 3,Ghost Rider: Spirit of Vengeance"
"Skyfall,Octopussy,Spectre,Never Say Never Again,Die Another Day,Dr. No,You Only Live Twice,Live and Let Die,Ballistic: Ecks vs. Sever,GoldenEye,Topaz,Switchback,The Spy Who Loved Me,Diamonds Are Forever,Quantum of Solace,D-Tox,Johnny English Reborn,The World Is Not Enough,Get Smart,Johnny English,From Russia with Love,Men in Black II,Licence to Kill,American Hustle,Casino Royale"
"Spider-Man 2,Spider-Man 3,Spider-Man,Iron Man 2,The Amazing Spider-Man,I Love You, Man,All Is Lost,Ant-Man,In the Name of the King: A Dungeon Siege Tale,Unbreakable,Big Fish,The Amazing Spider-Man 2,Hancock,Phantasm II,Superman Returns,Reign Over Me,Superman III,The Best Man,Superman,Ted,Gladiator,You, Me and Dupree,Multiplicity,Kites,Ghost Rider"
"Iron Man 3,Iron Man,Ant-Man,Captain America: The First Avenger,Captain America: Civil War,Iron Man 2,Thor: The Dark World,The Avengers,Avengers: Age of Ultron,Superman,X-Men,Thor,Guardians of the Galaxy,Man of Steel,The 6th Day,X-Men: Apocalypse,Superman III,Jurassic World,The Incredible Hulk,Spider-Man 3,The Helix... Loaded,Teenage Mutant Ninja Turtles,Captain America: The Winter Soldier,Harold & Kumar Escape from Guantanamo Bay,Deadpool"
"Alice in Wonderland,Alice Through the Looking Glass,The Queen,Mirrormask,Marie Antoinette,Enchanted,G-Force,Charlie and the Chocolate Factory,Snow White and the Huntsman,Snow White and the Seven Dwarfs,The BFG,Maleficent,The Wiz,Oz: The Great and Powerful,Dark Shadows,Pete's Dragon,The Straight Story,The Chronicles of Narnia: Prince Caspian,Queen of the Damned,Cinderella,The Lovely Bones,Pirates of the Caribbean: At World's End,The Adventures of Huck Finn,The Jungle Book,The Scorpion King"
"X-Men: The Last Stand,X-Men Origins: Wolverine,X-Men,X-Men: First Class,X-Men: Apocalypse,X2,X-Men: Days of Future Past,The Wolverine,The League of Extraordinary Gentlemen,AVP: Alien vs. Predator,Dragonball Evolution,Fantastic 4: Rise of the Silver Surfer,Unstoppable,The Core,Eragon,The Imaginarium of Doctor Parnassus,The Watch,The French Connection,Live Free or Die Hard,The Secret Life of Walter Mitty,Rise of the Planet of the Apes,The Sentinel,Fantastic Four,Around the World in 80 Days,Life of Pi"
"Monsters University,Doug's 1st Movie,Winnie the Pooh,Monsters, Inc.,Curious George,Monster House,Return to Never Land,The Princess and the Frog,Dinosaur,Barnyard,The Curse of the Were-Rabbit,The Jungle Book 2,Atlantis: The Lost Empire,Lilo & Stitch,Tangled,Toy Story 3,Pocahontas,Teacher's Pet,A Bug's Life,The Lego Movie,Chicken Little,Big Hero 6,Home on the Range,Meet the Deedles,Titan A.E."
"Transformers: Revenge of the Fallen,Transformers,Transformers: Age of Extinction,Guardians of the Galaxy,The One,Real Steel,TRON: Legacy,Transformers: Dark of the Moon,Timecop,Small Soldiers,Captain America: Civil War,The Stepford Wives,Avengers: Age of Ultron,The Rundown,Oblivion,Need for Speed,A Bug's Life,Pain & Gain,War of the Worlds,Imagine That,Sausage Party,Dungeons & Dragons: Wrath of the Dragon God,Night at the Museum: Battle of the Smithsonian,The Matrix Revolutions,Total Recall"
"Transformers: Age of Extinction,Transformers,Transformers: Revenge of the Fallen,Transformers: Dark of the Moon,The One,The Incredible Hulk,The Hitchhiker's Guide to the Galaxy,AVP: Alien vs. Predator,Timecop,Hulk,TRON: Legacy,Avengers: Age of Ultron,Teenage Mutant Ninja Turtles: Out of the Shadows,Guardians of the Galaxy,Lucy,Skyline,Sahara,The Stepford Wives,Jupiter Ascending,Ouija,Interstellar,Shooter,Captain America: Civil War,Real Steel,Star Trek: Insurrection"
"Oz: The Great and Powerful,Alice Through the Looking Glass,Cinderella,The Adventures of Huck Finn,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Red Sonja,Hocus Pocus,Super Mario Bros.,Maleficent,Night at the Museum: Secret of the Tomb,Aladdin,Practical Magic,The Shaggy Dog,The Huntsman: Winter's War,Fantasia,Alice in Wonderland,Dragonslayer,Return to Never Land,The Chronicles of Narnia: Prince Caspian,Harry Potter and the Chamber of Secrets,Race to Witch Mountain,G-Force,Saving Mr. Banks,Tuck Everlasting,Warlock: The Armageddon"
"The Amazing Spider-Man 2,Spider-Man 3,The Amazing Spider-Man,Spider-Man,I Love You, Man,Forgetting Sarah Marshall,Spider-Man 2,Pan,Trucker,Elektra,Superman Returns,Reign Over Me,Memoirs of an Invisible Man,The Wolverine,Kites,Superman III,Tin Can Man,Blade: Trinity,Due Date,Ghost Rider,X-Men,The Sweetest Thing,City By The Sea,Nighthawks,Airborne"
"TRON: Legacy,Transformers: Revenge of the Fallen,Transformers,The Rundown,Guardians of the Galaxy,The Thirteenth Floor,AVP: Alien vs. Predator,Captain America: Civil War,World War Z,Avengers: Age of Ultron,Catch That Kid,Wanted,Monkeybone,Regression,The Chronicles of Narnia: Prince Caspian,Transformers: Age of Extinction,300,The One,Transformers: Dark of the Moon,Surrogates,Around the World in 80 Days,Real Steel,The Fourth Kind,Mission: Impossible - Ghost Protocol,Sahara"
"Cars 2,Cars,A Bug's Life,Bolt,Herbie Fully Loaded,Flushed Away,Rio,Ratatouille,Teacher's Pet,Return to Never Land,The Croods,Driven,Toy Story 2,The Book of Life,Muppets Most Wanted,Stuart Little 2,The Adventures of Rocky & Bullwinkle,Atlantis: The Lost Empire,Surf's Up,The Incredibles,Hop,Khumba,The Adventures of Huck Finn,Valiant,Delgo"
"Green Lantern,Jupiter Ascending,The Green Inferno,Star Trek,The Darkest Hour,U.F.O.,The Odd Life of Timothy Green,Fantastic 4: Rise of the Silver Surfer,Yesterday Was a Lie,Man of Steel,Battlefield Earth,The Lord of the Rings: The Two Towers,Transformers: Age of Extinction,Thor,The Matrix Reloaded,Edge of Tomorrow,The Incredible Hulk,Transformers,Insurgent,Into the Storm,Clash of the Titans,The Phantom,The Adjustment Bureau,Mystic River,Blade: Trinity"
"Toy Story 3,Tangled,A Bug's Life,Return to Never Land,Bolt,Dinosaur,Winnie the Pooh,Barnyard,The Princess and the Frog,Chicken Little,Meet the Deedles,Home on the Range,Atlantis: The Lost Empire,Valiant,The Emperor's New Groove,The Curse of the Were-Rabbit,Cars,Rio,Teacher's Pet,Big Hero 6,Flushed Away,Monsters University,Chicken Run,The Jungle Book 2,Pocahontas"
"Terminator Salvation,Terminator 2: Judgment Day,The Terminator,Mutant World,Terminator 3: Rise of the Machines,The Book of Eli,Mad Max: Fury Road,The Hunger Games: Mockingjay - Part 1,Terminator Genisys,Total Recall,Battlefield Earth,9,Highlander: Endgame,I Am Legend,The Matrix Reloaded,Mad Max,Battle for the Planet of the Apes,Babylon A.D.,The Maze Runner,Gangster Squad,Dawn of the Planet of the Apes,Red Planet,The Postman,Blade Runner,Zombieland"
"Furious 7,Harrison Montgomery,The Wind That Shakes the Barley,Made in Dagenham,Coriolanus,Wah-Wah,Alexander,Perrier’s Bounty,Headhunters,Spider,The Dirties,Shame,Fifty Dead Men Walking,Movie 43,The Bad Lieutenant: Port of Call - New Orleans,The 51st State,Southland Tales,Severance,The Full Monty,Hannibal Rising,The Proposition,The Woman in Black,Blackthorn,Vera Drake,The Calling"
"World War Z,Surrogates,Shutter Island,Æon Flux,Megiddo: The Omega Code 2,They Live,Fury,The Scorpion King,Stealth,The Core,Escape from the Planet of the Apes,Narc,Lucky You,Watchmen,Chappie,The Invention of Lying,Extreme Ops,Alone in the Dark,Ultramarines: A Warhammer 40,000 Movie,Thirteen,2012,The Giver,Stop-Loss,Gattaca,Ultraviolet"
"X-Men: Days of Future Past,The Wolverine,X-Men: The Last Stand,X-Men: Apocalypse,X-Men,X-Men: First Class,X-Men Origins: Wolverine,X2,Prometheus,The League of Extraordinary Gentlemen,AVP: Alien vs. Predator,Night at the Museum: Battle of the Smithsonian,Fantastic Four,Avatar,Independence Day: Resurgence,Sahara,Victor Frankenstein,Kingdom of Heaven,Deadpool,Unstoppable,The Lovers,A Good Day to Die Hard,Blood Diamond,Dragonball Evolution,A Sound of Thunder"
"Star Trek Into Darkness,Star Trek: Nemesis,Star Trek: Insurrection,Star Trek Beyond,Star Trek,Star Trek: Generations,Star Trek IV: The Voyage Home,Silent Running,Meet Dave,Forrest Gump,Star Trek III: The Search for Spock,Star Trek V: The Final Frontier,World War Z,Small Apartments,Sky Captain and the World of Tomorrow,John Carter,Indiana Jones and the Kingdom of the Crystal Skull,3 Ninjas Kick Back,Not Cool,Zathura: A Space Adventure,Under Siege 2: Dark Territory,Spider-Man 2,The Running Man,Superman IV: The Quest for Peace,Virtuosity"
"Jack the Giant Slayer,Firewall,Legend of the Guardians: The Owls of Ga'Hoole,Man of Steel,Henry & Me,Race,Jack Brooks: Monster Slayer,The Art of War,Speed Racer,Warcraft,The Incredible Hulk,Lucky You,Sherlock Holmes: A Game of Shadows,Ladder 49,The Change-Up,The Hobbit: An Unexpected Journey,Stardust,Thunder and the House of Magic,The Tree of Life,Central Intelligence,Harry Potter and the Prisoner of Azkaban,Lady in the Water,V for Vendetta,Clash of the Titans,A Thousand Words"
"The Great Gatsby,Alexander,Winter's Tale,A Walk on the Moon,Catwoman,Lucky You,Blue Valentine,Coriolanus,The Wind That Shakes the Barley,White Noise,The Lucky One,Furious 7,Adam,The Legend of Tarzan,Virgin Territory,Harrison Montgomery,Legend of the Guardians: The Owls of Ga'Hoole,The Lake House,A Dangerous Method,Wah-Wah,Redacted,My Week with Marilyn,Gran Torino,Training Day,The Best Offer"
"Prince of Persia: The Sands of Time,In Time,Kate & Leopold,Somewhere in Time,G-Force,Aladdin,The Incredibles,The Lovers,Rise of the Guardians,Time Bandits,Cinderella,The Time Traveler's Wife,Tomorrowland,National Treasure,Jack the Giant Slayer,The Adventures of Huck Finn,Beastmaster 2: Through the Portal of Time,The Scorpion King,Surrogates,Down to Earth,Getaway,Drive Angry,Dragonslayer,Thor: The Dark World,My Baby's Daddy"
"Pacific Rim,300: Rise of an Empire,Firefox,Superman Returns,Broken Arrow,The Time Machine,Six Days Seven Nights,Interstellar,Warcraft,Wrath of the Titans,The Island,Surrogates,Man of Steel,The Incredible Hulk,Terminator Genisys,Top Gun,The Hangover Part II,The Three Musketeers,Centurion,Stealth,Midnight Special,The Dark Knight,Damnation Alley,Jupiter Ascending,Guardians of the Galaxy"
"Transformers: Dark of the Moon,Transformers: Age of Extinction,Transformers,Transformers: Revenge of the Fallen,Lucy,Armageddon,Star Trek: Insurrection,Moon,The Stepford Wives,Interstellar,Speed Racer,Extreme Ops,TRON: Legacy,Star Trek: The Motion Picture,The Fourth Kind,A Sound of Thunder,A Dangerous Method,Star Trek,AVP: Alien vs. Predator,Rat Race,Guardians of the Galaxy,Sherlock Holmes: A Game of Shadows,Riddick,Doom,Imagine That"
"Indiana Jones and the Kingdom of the Crystal Skull,War, Inc.,Beginners,The Matrix Reloaded,Rambo III,American Hero,Total Recall,The Lost World: Jurassic Park,3 Ninjas Kick Back,Winnie the Pooh,Saw III,A Serious Man,I Love You, Man,Wimbledon,Waterloo,The Equalizer,Star Trek Into Darkness,True Grit,Commando,Man of Steel,The R.M.,City By The Sea,Star Trek,The Adventures of Elmo in Grouchland,Nicholas Nickleby"
"The Good Dinosaur,Dinosaur,The Princess and the Frog,Teacher's Pet,Return to Never Land,Winnie the Pooh,Ice Age: Dawn of the Dinosaurs,Atlantis: The Lost Empire,Pocahontas,Big Hero 6,WALL·E,Frozen,A Bug's Life,Super Mario Bros.,Rio,Jungle Shuffle,Land of the Lost,Walking With Dinosaurs,Lilo & Stitch,The Land Before Time,The Lion of Judah,Stuart Little 2,Stuart Little,The Jungle Book 2,Tangled"
"Brave,Frozen,Shrek the Third,Winnie the Pooh,Tangled,Maleficent,The Tale of Despereaux,Return to Never Land,The Princess and the Frog,Aladdin,Shrek 2,Big Hero 6,Pinocchio,Krull,Happy Feet Two,The Adventures of Huck Finn,A Bug's Life,Dragonslayer,The Emperor's New Groove,The Jungle Book 2,Pocahontas,Doug's 1st Movie,The Lord of the Rings: The Return of the King,The Tigger Movie,Meet the Deedles"
"Star Trek Beyond,Star Trek: The Motion Picture,Star Trek,Interstellar,Star Trek Into Darkness,Star Trek VI: The Undiscovered Country,The Ides of March,Star Trek III: The Search for Spock,Open Range,Oblivion,Sherlock Holmes: A Game of Shadows,Star Trek: Insurrection,Land of the Lost,The Hitchhiker's Guide to the Galaxy,Star Trek: First Contact,Star Trek V: The Final Frontier,The Stepford Wives,A Sound of Thunder,Timecop,Terminator Genisys,The Adventures of Tintin,Joy Ride,Noah,Timeline,Teenage Mutant Ninja Turtles: Out of the Shadows"
"WALL·E,The Princess and the Frog,Winnie the Pooh,Big Hero 6,Return to Never Land,Jungle Shuffle,The Good Dinosaur,Bolt,The Smurfs 2,Teacher's Pet,Robots,Pocahontas,Tangled,Frozen,A Bug's Life,The Jungle Book 2,The New Guy,The Matrix Reloaded,Toy Story 3,Dinosaur,Roadside Romeo,Inside Out,Treasure Planet,Lilo & Stitch,The Incredibles"
"Rush Hour 3,Rush Hour 2,Lethal Weapon 4,The Replacement Killers,Hav Plenty,Khiladi 786,Code Name: The Cleaner,The Long Kiss Goodnight,Cellular,Saw V,Eraser,Babylon A.D.,Wild Target,Mr. & Mrs. Smith,The Big Hit,The Helix... Loaded,Journey to the Center of the Earth,Money Train,The Transporter Refueled,The Sentinel,Dick Tracy,Romeo Is Bleeding,The Lost World: Jurassic Park,Malone,Killers"
"2012,The Core,Battlefield Earth,World War Z,The Scorpion King,Man of Steel,After Earth,Waterworld,The World Is Not Enough,Megiddo: The Omega Code 2,Team America: World Police,Girl, Interrupted,Thor,Journey to the Center of the Earth,Meteor,Men in Black II,Superman IV: The Quest for Peace,Chappie,The Day the Earth Stood Still,G-Force,Atlas Shrugged Part II,Prometheus,Beat the World,Spy Kids: All the Time in the World,Æon Flux"
